FID,ACRES,NPA,FID_,NPA_1,Household_,Household1,Bac,Bachelors1,Elem,Proficie_1,Housing_Si,Home_Sales,Violent_Cr,Voter_Part,311_Reques,Age_of_Dea
0,411.1115698,2,0,0,47500,0,47,7,33.33,20.13,1524,295527,8.4,71,42.09,68
1,1155.559009,3,0,0,105303,0,79,4,87.65,84.68,2267,527573,3.47,75,22.28,70
2,332.1384204,4,0,0,212045,87277,90,11,75.61,64.15,3814,1480988,0,87,37.24,0
3,167.0984005,5,0,0,30547,12924,3,7,25.93,13.33,1056,139958,25.91,47,64.12,64
4,403.1170801,6,0,0,32403.85,0,12,6,26.32,18.97,1084,152545,30.05,53,78.07,59
5,548.2084101,7,0,0,250000,0,93,10,90.91,0,5197,1977357,0,85,26.21,84
6,608.2327427,8,0,0,59174,11986,58,11,65.22,66.67,1917,402022,0,77,32.85,85
7,93.53831457,9,0,0,100781,38549,62,11,35.71,0,1532,531657,3.11,79,35.56,0
8,552.5525763,10,0,0,45200,0,26,6,36.47,28.33,1119,335259,18.4,67,63.38,65
9,517.2045284,11,0,0,129900,0,74,7,91.86,77.46,2378,802460,2.84,85,39.51,81
10,164.5758546,12,0,0,35482.14,0,22,6,27.97,22.14,0,83273,9.9,50,13.42,56
11,457.2927333,13,0,0,50913.46,0,43,9,36.94,25.81,1346,333715,7.32,62,31.09,64
12,436.0394584,14,0,0,62114.73,0,39,7,35.05,29.31,1883,199337,2.4,68,32.38,57
13,692.5416129,15,0,0,113175.7,0,54,11,72.41,78.57,2349,360174,0.49,81,55.1,79
14,726.8166763,16,0,0,48241.94,0,27,5,36.89,27.92,1475,169936,6.73,66,37.3,68
15,454.8612713,17,0,0,39818.18,0,19,7,22.07,33.62,1613,159583,11.56,65,50.19,76
16,616.9545521,18,0,0,80903.85,0,79,24,60.92,50.63,3130,894145,0.86,77,27.44,78
17,842.794199,19,0,0,93435.53,0,66,6,82.54,73.47,2314,334194,0,83,50.44,77
18,400.9160535,20,0,0,75555.56,0,58,13,76.34,67.8,1938,283997,0.32,75,23.33,78
19,912.0853841,21,0,0,33368,1411,12,7,29.79,37.5,1422,351641,12.6,58,29.25,55
20,314.1675284,22,0,0,50795,22535,38,8,78.57,0,1123,394846,5.65,76,19.11,59
21,281.089937,23,0,0,21657,3874,14,8,23.4,30.23,1471,187190,1.57,64,38.11,64
