FID,ID,X,Y,Z,Z2,Cluster,Edge,Z_Value,Z_Value99,Z_Value90,Z_Value90_50,Z_Value95,Z2_Value,Z2_Value90,Z2_Value90_50,X_Value,X_Value90,X_Value95,Y_Value90,X_2x,X_11x,X_1x,X_09x,X_01x,X_2x_5c,X_11x_5c,X_1x_5c,X_09x_5c,X_01x_5c,X_180_1000,X_200_1111,X_190_1056,X_150_1000,X_200_1333,X_175_1167,X_100_1000,X_200_2000,X_150_1500,X_50_1000,X_200_4000,X_125_2500,X_120_1000,X_200_1667,X_160_1333,X_110_1000,X_200_1818,X_155_1409,X_90_1000,X_200_2222,X_145_1611,X_70_1000,X_200_2857,X_135_1929,X_80_1000,X_200_2500,X_140_1750,X_60_1000,X_200_3333,X_130_2167,X_40_1000,Y_8_200,X_200_5000,Y_40_1000,X_120_3000,Y_24_600,X_30_1000,Y_6_200,X_200_6667,Y_40_1333,X_115_3833,Y_23_767,X_20_1000,Y_4_200,X_200_10000,Y_40_2000,X_110_5500,Y_22_1100,X_10_1000,Y_2_200,X_200_20000,Y_40_4000,X_105_10500,Y_21_2100,X_200_1200,Y_40_160,X_200_800,Y_40_240,X_200_1400,Y_40_120,X_200_600,Y_40_280,X_200_1600,Y_40_80,X_200_400,Y_40_320,X_120_1200,Y_16_160,X_80_800,Y_24_240,X_140_1400,Y_12_120,X_60_600,Y_28_280,X_160_1600,Y_8_80,X_40_400,Y_32_320,X_12_1200,Y_2_160,X_8_800,Y_2_240,X_14_1400,Y_1_120,X_6_600,Y_3_280,X_16_1600,Y_1_80,X_4_400,Y_3_320,X_200_1300,Y_40_260,X_200_1500,Y_40_300,X_200_1100,Y_40_220,X_200_900,Y_40_180,X_200_700,Y_40_140,X_200_500,Y_40_100,X_13_1300,Y_3_260,X_15_1500,Y_3_300,X_11_1100,Y_2_220,X_9_900,Y_2_180,X_7_700,Y_1_140,X_5_500,Y_1_100,X_200_1000,Y_40_200,X_17_1700,X_18_1800,X_19_1900,X_20_2000,X_30_3000
0,1,1406.480727,180.2003797,0.583752588,0.660122429,0,0,0.44394236,0.44394236,0.44394236,0.44394236,0.44394236,3.43818763,3.43818763,3.43818763,1162.513691,1162.513691,1162.513691,180.2003797,1262.223517,1254.605645,911.4677479,1005.963922,666.009022,1413.726447,973.0289192,1194.188404,1136.473104,735.5315484,1163.259284,1337.386971,1010.117958,972.1709507,1129.040449,1257.810874,1183.327702,1328.495562,1061.177884,1067.708349,721.4501098,828.5042626,964.032319,1044.55953,1252.49846,1114.018373,979.0680058,1361.039598,613.2063853,1003.221024,1277.464479,1129.214026,1278.252323,1260.627505,1224.676374,1134.676804,1231.731318,784.2060515,941.1776506,1108.459933,837.4038927,154.776989,1083.070695,232.5779528,979.9860411,178.8183052,674.2671498,182.2124952,1042.885672,173.5744321,1192.342438,124.4284361,708.6502426,268.281581,766.9444685,185.4256767,1233.446406,280.3213029,934.1267266,271.2484855,974.09462,241.3219915,1338.853121,188.8840385,697.1530752,189.2734526,1394.567136,206.1585971,1340.484556,175.3768477,968.2015949,103.315326,1116.226736,154.5866354,1013.678807,162.6172971,1211.402002,274.5331621,1027.416891,161.2699008,784.2605613,235.5612845,1175.304842,248.8007324,1053.647545,184.6234278,1156.447084,219.8337796,650.0626472,197.8845849,1250.712387,209.2787785,868.7195599,242.6625712,881.4761819,173.4427417,862.9730777,181.3693133,999.8139108,274.6529284,1403.091545,160.2854005,972.5090689,186.4570068,932.3779058,203.9470305,1062.518789,232.1900013,918.9291063,185.1939423,1088.182266,200.3354283,821.7628638,205.7744402,948.5367625,214.4550316,851.2258637,231.0144025,949.3959613,189.1391488,1011.994212,179.3777205,895.4064074,221.9176348,1118.754918,260.6559543,851.2258637,851.2258637,851.2258637,851.2258637,851.2258637
1,2,1201.670737,251.7589359,3.449693157,1.103716706,0,0,1.43345609,1.43345609,1.43345609,1.43345609,1.43345609,0.489638695,0.489638695,0.489638695,1234.189445,1234.189445,1234.189445,251.7589359,806.8111439,1227.708444,1123.231418,1208.878005,979.9311205,674.4627941,893.0709926,650.3340035,1324.948159,1007.211262,806.9296397,982.77559,521.9523878,1105.416434,930.4310153,1147.34422,1328.959926,727.3228825,610.4357753,1063.856087,1098.725955,1040.695634,1012.750359,605.3985766,1188.388391,965.8499617,917.1238377,775.339025,863.6106534,694.8365591,836.8413417,1127.168223,1001.05509,1076.101254,1262.116876,967.9413006,1058.485455,833.2949018,1412.081174,1033.905958,1338.438611,180.4690634,1151.069374,150.623215,1247.720944,187.7237569,1010.518313,182.2747755,910.8920861,229.7459685,915.8732333,252.5436312,860.6119628,114.3631162,1218.739543,241.2748493,1201.351884,311.2965333,1093.592952,208.3669286,816.9949308,158.3343586,1101.837842,211.7055404,1232.495049,222.7244777,1159.43165,115.7125528,776.8070041,188.4555172,1013.258198,275.6383768,1387.975156,211.4042254,687.3509864,191.7599536,1182.749606,203.2289785,929.737073,230.6754942,1289.462528,272.0588982,1148.818747,186.8478397,924.7117968,252.0061025,1081.968774,245.3845647,1267.395065,157.64249,1085.394335,217.7468026,781.1905715,251.9329507,1349.096174,135.3906103,856.9970752,244.4641216,1101.763405,210.3343511,1231.523509,198.4966268,1090.059414,182.6951449,1430.079284,202.8535319,981.9045346,220.5710198,1027.357054,182.6672686,1071.402364,240.0656234,806.4138496,157.8693454,600.3429138,248.2640035,1289.849001,158.8872788,627.4979669,168.2026958,1341.500127,178.0850914,1229.552498,242.240099,841.1429241,216.4124623,1289.849001,1289.849001,1289.849001,1289.849001,1289.849001
2,3,1228.551242,232.0951458,1.154893264,4.448207818,0,0,0.28486648,0.28486648,0.28486648,0.28486648,0.28486648,2.326626924,2.326626924,2.326626924,878.0893823,878.0893823,878.0893823,232.0951458,1230.541242,1316.964191,1089.629041,1126.235877,1042.195713,702.3380824,838.0225748,1082.146921,1039.625892,1136.395239,1110.974237,1027.275089,1007.512861,1048.167304,1189.637167,1119.452709,937.3046623,915.2227864,740.6860266,953.4845988,1021.339014,772.8607,1100.819084,1105.526348,769.8541793,859.5285954,800.4722698,886.7829641,1102.45233,1126.147731,1160.659639,1089.979602,988.6460821,880.674524,1116.900699,968.1988147,934.8314084,921.5724809,1162.343205,767.9381542,1026.156172,128.8972428,856.5174628,243.347875,1299.926883,206.6763179,1226.404086,192.0259298,991.3573204,227.5674314,514.7668459,221.226577,1194.786703,235.757325,1038.278514,171.641406,1278.981409,255.6335254,1030.578432,232.6645427,799.7690164,277.2373394,1473.749351,241.8385688,1036.232722,159.89874,816.7610859,152.8264221,1132.120563,256.2041408,685.2394915,223.5712229,1146.748473,204.4351354,1083.632614,236.6908043,1306.683473,216.0260749,904.9904505,184.9198126,903.7360131,210.0952728,1135.282867,126.7805658,895.6172647,179.6641131,1124.165924,168.2690766,1002.08077,188.7836273,1217.255465,213.5870772,974.9070072,161.9046849,607.1945984,111.7051854,1151.679776,243.7418981,725.6754559,209.2332943,1149.495104,201.6968373,1134.523564,221.9052745,885.9840998,244.1468456,829.7620063,198.7198905,1456.960948,201.4570147,616.4868573,217.0769538,1223.495873,158.5077052,1118.703612,222.3482236,1033.097582,164.8085721,950.0834704,190.9500223,1132.25036,195.289469,1203.950684,235.0256827,1076.716084,207.3524951,1033.097582,1033.097582,1033.097582,1033.097582,1033.097582
3,4,533.4586991,190.6233598,2.119178688,1.518016213,0,0,1.30115837,1.30115837,1.30115837,1.30115837,1.30115837,0.369171135,0.369171135,0.369171135,871.3333434,871.3333434,871.3333434,190.6233598,794.4082818,1150.442143,1060.144361,1261.658793,1318.687107,910.677537,764.6569977,726.5117521,733.7368271,1004.422312,780.186662,875.1477277,649.4259161,1153.473482,909.2997353,757.4355788,855.9506472,1065.858843,1227.014838,977.7433675,660.410252,1114.372787,1253.443609,652.124303,1049.644659,1191.010223,733.071083,616.8118376,675.9983247,901.668592,898.3470244,828.6259897,1397.960145,1074.062639,1172.706433,1274.693107,559.435555,1198.254924,977.3630063,1014.432999,1058.126889,112.3265179,1276.285045,159.6139137,1822.649016,155.2360886,557.9755371,236.9001517,999.4873734,220.3832971,704.8791641,233.7841092,982.9516373,183.7559469,1231.612418,182.870859,1310.311916,149.4282143,864.7032296,236.4427614,752.7280584,155.3032799,855.230943,212.5014144,1150.917859,229.687338,1028.939177,188.6127015,780.9203678,205.0250586,543.4900336,268.1430086,936.5866426,133.2166779,1039.796821,229.4452028,1256.543915,229.8763526,792.5334141,214.4467397,939.7807268,184.7440779,1281.320578,263.0863541,1335.263284,231.0172431,1010.642731,245.5277114,1059.643866,229.5363378,864.4978594,158.1751133,1251.585104,253.2086577,1297.555056,219.9458632,947.5692132,131.9690459,1134.127107,216.8634772,871.2946699,162.0294224,1093.699332,127.2217341,953.6105518,111.1134957,1362.802662,191.9713618,1101.547179,171.121063,856.8441532,215.9928234,663.2120137,171.0043637,1043.034952,162.8588159,761.588553,136.1283283,953.5828747,182.4911494,1114.099964,134.6039186,1319.800089,185.2028912,989.2579921,172.2847158,761.588553,761.588553,761.588553,761.588553,761.588553
4,5,970.2649859,212.793097,0.337939751,2.43347657,0,0,3.14986966,3.14986966,3.14986966,3.14986966,3.14986966,0.458770169,0.458770169,0.458770169,502.0132319,502.0132319,502.0132319,212.793097,996.3561146,763.5446105,811.5431902,887.223026,998.1512084,921.5121613,913.0178218,988.5064622,726.2152838,501.1371339,549.8663209,841.1295795,1143.81722,796.8244075,984.9317904,1070.046075,1214.745698,671.1941804,796.8722895,1309.383682,1384.451379,785.1937232,1260.782743,960.4843106,1002.281967,750.4988454,1044.798864,999.1062973,810.6728047,852.7852669,1247.87989,1267.114175,1281.592033,1168.032624,958.3738098,742.8567756,1116.521541,886.1348036,1043.551658,1189.127141,798.2005362,212.0079152,844.0821779,212.4926921,924.1913281,232.9276682,751.3812698,190.9484889,537.931924,159.7603313,1386.51427,160.2566059,1128.859317,184.0429827,1148.667423,211.0547413,649.9287614,228.4856445,1318.236396,239.1222938,1118.235752,185.7080302,1200.121665,278.493972,978.5043409,229.1510256,1171.053295,190.6236363,877.530963,275.4580093,1124.461351,144.7318877,1287.217807,295.4411406,1407.830844,192.4572119,616.2879989,236.1777788,836.0542268,179.798581,1261.466086,252.8183348,724.3873142,146.0254644,988.5449717,130.2390607,931.6974131,231.1011948,756.7019943,156.8489109,1003.960066,270.6545335,798.8908082,216.3968909,923.7774037,199.7395729,786.4393257,184.544999,928.3838104,194.6402472,636.4323403,317.4741377,938.5085693,204.0484307,1015.128974,246.3283661,1197.999496,210.2691771,724.6138285,173.3294196,979.7610554,209.2624125,643.9191719,205.9813604,1097.1194,125.5099249,1172.39022,221.4073646,1212.193336,225.4491949,1110.703126,216.4559964,994.6761165,193.6138421,1125.961608,161.9247757,1172.39022,1172.39022,1172.39022,1172.39022,1172.39022
5,6,937.9486821,155.0183868,0.613501976,0.907965382,0,0,3.20340244,3.20340244,3.20340244,3.20340244,3.20340244,3.231209147,3.231209147,3.231209147,651.32487,651.32487,651.32487,155.0183868,752.4397536,1073.321399,665.8264165,1190.725634,984.6789134,1017.527994,995.3275978,863.069198,1156.455895,1276.953827,1126.649036,1119.990701,466.5025281,1009.204309,856.0529914,543.2477787,932.7304787,959.4286834,1096.80613,1014.146065,951.1034321,1116.490225,907.4858784,716.2898453,1023.126546,1104.910027,616.5426879,1026.684854,948.9829433,692.7020862,1257.273911,798.4112696,1195.303625,576.9390935,761.599987,931.9471582,768.8898906,911.0768811,909.6104603,1043.31612,1193.017341,178.5532725,991.628085,176.242296,1034.26298,183.0414729,1008.43905,240.2895946,1106.753008,261.5002316,824.1587564,164.2228441,772.3998346,210.3109077,618.2238997,180.5164803,1057.044003,127.9509008,781.3818109,186.4758302,898.8339165,190.0484279,840.0476708,197.1108674,766.9569911,258.168362,1043.79703,175.3322083,1158.442338,162.7170711,1331.172383,213.8464052,993.1383537,247.9577214,838.0394902,194.6781078,785.5794739,192.5715412,779.7523181,169.9177149,587.4280486,236.9381524,923.8873637,155.3005582,1083.678689,226.2356215,1432.421117,231.5766647,1107.47222,172.0790668,1074.543634,197.3643781,904.1815648,214.4699373,853.6386345,304.0115743,928.6322246,201.344643,870.4275751,139.5650288,665.1067641,224.5743158,1236.271837,219.0730962,935.6876943,149.8351097,559.3247192,224.5890995,1096.036845,272.1350265,1137.351575,164.5185743,1441.6845,255.0911408,1205.905499,189.4906032,1215.025065,220.1902993,813.9843355,272.3305555,850.6146258,310.0473766,1059.058467,159.7975902,1132.598206,218.2198302,1215.025065,1215.025065,1215.025065,1215.025065,1215.025065
6,7,1114.857801,219.100802,1.184066939,1.428161448,0,0,0.34542117,0.34542117,0.34542117,0.34542117,0.34542117,0.601928734,0.601928734,0.601928734,731.2425841,731.2425841,731.2425841,219.100802,984.8391438,1029.075675,1017.63179,1015.686014,796.2630115,875.065785,920.3501569,727.7904573,898.0565283,718.4505737,1191.938507,1062.132764,1364.26545,915.78832,675.7023757,939.2795074,979.7588908,984.234573,554.0822945,1251.985098,1034.985524,1019.746782,769.7238932,929.5325129,1184.326089,1302.221901,962.4592442,1073.050121,929.7803416,966.9972093,947.2227382,1004.056026,947.1711006,1194.270036,522.0476704,1137.452384,780.0460739,1108.295899,1158.56493,997.7885631,863.8219788,147.3084289,982.0111179,210.5615016,979.6003404,162.9563341,674.9412809,115.4406064,1222.143698,204.9582686,986.1026447,284.7709347,1155.747652,226.4543561,1171.670435,193.5618138,1042.860716,230.2189417,758.2148033,111.8496683,996.738591,242.5558932,820.567823,203.6619631,1139.580808,248.6519744,895.7679679,138.1836817,1142.69055,201.5928642,1131.312321,241.2331053,1026.731726,240.4893689,1157.190841,205.5871712,1022.374668,143.7476581,1303.932466,258.4607411,935.2521169,248.8064686,1229.684145,225.6513961,1454.040402,194.9379773,1129.235289,159.0252517,1139.989677,103.9464557,1097.508721,188.7843871,719.3525007,232.2864861,1188.113819,223.603633,926.3398419,209.9256957,732.2017704,184.9313921,943.066815,261.0450326,868.9853492,164.3866866,1018.059339,178.8937507,1088.230718,200.544219,997.8524491,226.7003803,682.7513976,130.8693069,926.7430033,163.0218821,1150.122781,172.102793,791.4330472,163.77396,1142.741017,146.7412612,883.703942,175.920082,1114.380687,176.7750508,1406.157572,169.3824626,791.4330472,791.4330472,791.4330472,791.4330472,791.4330472
7,8,1116.125245,188.4802998,0.790910246,0.897964612,0,0,0.66286878,0.66286878,0.66286878,0.66286878,0.66286878,4.886108936,4.886108936,4.886108936,1066.56958,1066.56958,1066.56958,188.4802998,1137.476846,1183.653822,679.6096673,812.726971,1056.109787,1002.812009,1159.070482,1142.904516,584.0092825,1030.91667,1500.225764,933.9297073,953.9056096,1065.885543,985.8699679,859.6064226,994.0682506,1143.931751,884.5003709,997.1599149,1143.827161,858.0248262,1037.377152,790.2117056,1108.355162,944.096143,1010.780524,789.4418255,969.5341444,970.561818,1268.754041,1429.23848,1109.68656,884.1077849,964.3741046,930.5954787,781.0637599,707.3929008,1091.588391,879.0955082,710.59005,199.3670621,981.3672749,242.2627431,1278.748364,186.1046457,795.2678136,163.5698979,1231.294079,226.6269527,1036.621194,116.199987,951.3160855,268.7672635,798.1680763,122.5943312,458.2923239,174.6781875,853.8655343,187.2693795,1216.684262,173.4672263,1001.847061,196.6177375,923.2166165,185.8795863,1039.969648,208.5058762,493.5065084,174.3872391,1359.308501,182.167847,1014.091916,171.9350704,1042.523852,175.7691893,1021.167284,237.3600966,705.7232916,187.4212702,820.0389173,184.3327911,843.9763415,194.010423,672.4969933,202.5753416,1214.863826,187.5268378,1311.428911,255.4960386,1551.677943,267.2394332,1002.930203,256.7088795,1416.67046,176.2410454,1115.211492,238.716557,1151.302326,231.9515466,858.4814668,143.1799227,1361.272146,152.0959473,1173.163364,216.2368961,1085.890583,188.3315001,1131.652961,274.9201052,1286.110638,236.5535337,1030.131885,189.3070287,1180.811558,180.3006063,853.3061741,206.695576,862.0400081,226.3104712,995.9256873,163.9649619,1064.493751,177.2708347,1363.129694,211.9014737,853.3061741,853.3061741,853.3061741,853.3061741,853.3061741
8,9,732.9777973,236.6250857,0.603657258,0.773071982,0,0,0.32932668,0.32932668,0.32932668,0.32932668,0.32932668,1.875529403,1.875529403,1.875529403,910.9095502,910.9095502,910.9095502,236.6250857,1278.612615,876.5335724,1006.397447,966.6149684,903.1580775,1061.373789,1033.25233,1159.230007,959.7943004,859.1866808,995.8765276,1027.406924,1239.196578,762.6301773,1143.532011,1200.900592,939.6664106,1083.272337,835.9003113,866.8210309,985.4235279,1014.546792,1040.855831,1274.37312,926.7954996,1039.319776,860.8622761,1025.745559,925.1561342,1382.946325,1105.637156,828.6735353,903.9957997,1135.83281,1018.593119,995.3077047,1238.138462,840.8422073,1041.963736,997.9678076,1097.010901,258.1344122,988.3423956,188.7609909,650.4911351,229.9293319,1141.869728,206.8251256,995.3253563,205.754251,1113.985991,196.970423,772.6317882,185.2500419,971.0225872,183.8972251,1224.579044,195.4688522,886.8309979,220.8325159,787.9607583,184.3923912,1072.883815,264.6273195,1093.627587,184.1335067,728.5897953,163.9766746,757.3355564,183.5453017,1204.000801,219.5285995,764.3209848,230.0391073,842.8315211,208.9013872,808.2747897,248.8006098,906.7092632,197.3840543,734.938456,259.8682954,1024.799256,171.1155614,991.7981241,235.0216136,904.8640305,208.994732,749.7548075,198.7473297,1130.774937,205.6692265,1154.779178,191.8221016,939.1160822,183.1119212,823.7216495,238.8575028,559.7353902,189.0271113,967.7155067,209.7885439,861.4088884,111.3792065,722.8436275,183.2324971,774.4089722,190.0552695,848.1604127,278.6054984,1202.623405,150.1043891,720.3961405,239.1016079,923.2685664,116.009708,1127.529092,200.4467733,797.7473032,147.6145847,805.7126945,288.9442403,1305.135772,240.2131785,968.4024486,215.178628,1127.529092,1127.529092,1127.529092,1127.529092,1127.529092
9,10,863.3579926,168.2359969,1.238207698,0.219547886,0,0,0.64125101,0.64125101,0.64125101,0.64125101,0.64125101,0.92101533,0.92101533,0.92101533,886.8372256,886.8372256,886.8372256,168.2359969,872.3016954,882.590378,651.1519767,1527.287428,554.0686862,569.4051848,839.5426853,1164.139224,986.1850611,1004.023628,1172.875511,837.0430118,538.3572904,1375.862093,766.1212532,833.0492357,1162.09895,844.1524736,815.4435445,717.0137538,805.3900357,913.7920161,1136.561483,472.8137582,1182.702982,1069.351085,1229.866028,1069.09327,1109.164844,1053.49278,1059.99898,1121.353172,1499.846317,1131.703777,1173.74606,665.6753791,1272.112814,1164.322863,1059.477114,795.5719471,1096.074283,165.3016571,1072.37428,196.2070413,927.6793873,168.8856227,1049.909966,212.0517263,1071.529593,254.9964596,1344.841372,217.2256702,899.9038254,205.1142973,984.7935444,253.7491258,1159.025514,198.0451513,967.9561422,174.9501025,1514.698086,217.2717442,930.5650058,181.5782407,790.6847905,281.8508204,1064.898139,147.5881809,1325.968294,194.8918934,1252.958191,283.6365709,957.2380467,277.6609691,759.0682332,237.1772586,1186.207659,258.4984306,826.8179696,196.1549847,1174.110342,184.5869796,1135.666911,251.5821214,1032.276913,178.0280169,1152.839781,200.2159271,750.8518345,289.1787669,915.5828393,210.0960931,904.8700644,205.0585599,903.7001404,198.8295062,998.3885546,212.0312081,1018.759164,175.649426,1279.10661,196.087248,1006.557761,181.4945266,960.5248179,309.8546957,1128.097466,94.35714203,974.6944127,116.0726717,1001.420556,222.0760016,1286.184908,255.5591156,1183.355781,262.4573008,1377.648003,223.1295324,1035.643891,276.3674179,1058.191872,189.7672498,1209.590128,163.0890423,779.4653892,216.5276987,1377.648003,1377.648003,1377.648003,1377.648003,1377.648003
