OBJECTID,Cluster,Edge,var1,var2,BiT,p_sim,p_value,pattern005,pattern001,pattern0001
1,0,0,1406.480727,180.2003797,0.9989667735811361,0.26,0.26,NS,NS,NS
2,0,0,1201.670737,251.7589359,2.1047489523540883,0.11,0.11,NS,NS,NS
3,0,0,1228.551242,232.0951458,3.8286469840663027,0.579,0.42100000000000004,NS,NS,NS
4,0,0,533.4586991,190.6233598,10.88493359703287,0.957,0.04300000000000004,neg_cluster,NS,NS
5,0,0,970.2649859,212.793097,6.5825783202235915,0.956,0.04400000000000004,neg_cluster,NS,NS
6,0,0,937.9486821,155.0183868,2.967337082562912,0.515,0.485,NS,NS,NS
7,0,0,1114.857801,219.100802,0.9558851938877522,0.096,0.096,NS,NS,NS
8,0,0,1116.125245,188.4802998,1.4825247072582322,0.197,0.197,NS,NS,NS
9,0,0,732.9777973,236.6250857,3.7701835517518223,0.446,0.446,NS,NS,NS
10,0,0,863.3579926,168.2359969,3.000666227908188,0.488,0.488,NS,NS,NS
11,0,0,1144.827608,203.5256932,0.6741361269102901,0.08,0.08,NS,NS,NS
12,0,0,1271.437623,219.3806793,0.6666277277006485,0.017,0.017,pos_cluster,NS,NS
13,0,0,1464.678522,243.1995099,3.09250169384231,0.153,0.153,NS,NS,NS
14,0,0,1214.555489,146.893994,0.9490617807649739,0.008,0.008,pos_cluster,pos_cluster,NS
15,0,0,1133.459773,234.6742528,4.819972481142615,0.749,0.251,NS,NS,NS
16,0,0,1018.135425,205.3465993,5.236748730843482,0.881,0.119,NS,NS,NS
17,0,0,931.6387425,266.1634439,3.7702045368252315,0.502,0.498,NS,NS,NS
18,0,0,833.6893668,240.937138,6.4709409239619795,0.834,0.16600000000000004,NS,NS,NS
19,0,0,538.6068867,225.9184016,3.873261488092098,0.549,0.45099999999999996,NS,NS,NS
20,0,0,798.230652,180.749636,3.362839765866322,0.369,0.369,NS,NS,NS
21,0,0,985.431123,235.6578389,7.806995533695259,0.868,0.132,NS,NS,NS
22,7,1,502.025469,300.8851129,40.77881002253939,0.999,0.0010000000000000009,neg_cluster,neg_cluster,neg_cluster
23,7,1,497.5355569,297.7125301,48.68494681826754,1.0,0.0,neg_cluster,neg_cluster,neg_cluster
24,7,1,490.3991188,302.7769429,41.58853354564343,0.999,0.0010000000000000009,neg_cluster,neg_cluster,neg_cluster
25,0,0,906.5191021,261.2768167,12.194018416133602,0.967,0.03300000000000003,neg_cluster,NS,NS
26,0,0,1192.649188,224.2615757,1.0220340312941394,0.004,0.004,pos_cluster,pos_cluster,NS
27,0,0,1470.808977,269.9470837,5.7139579984531865,0.06,0.06,NS,NS,NS
28,4,1,991.4182652,299.3142503,10.18795093719505,0.781,0.21899999999999997,NS,NS,NS
29,4,1,1001.004348,296.9890217,10.765740829021246,0.832,0.16800000000000004,NS,NS,NS
30,4,1,1010.448579,297.8103139,8.63952094881422,0.655,0.345,NS,NS,NS
31,0,0,1072.835741,146.0136329,3.7635160435406547,0.238,0.238,NS,NS,NS
32,0,0,640.2540894,237.2986711,3.917834172840099,0.07,0.07,NS,NS,NS
33,0,0,624.8234775,117.8745621,24.323473528693142,0.99,0.010000000000000009,neg_cluster,neg_cluster,NS
34,1,1,1508.394054,295.6528177,11.95262790034924,0.281,0.281,NS,NS,NS
35,1,1,1477.175374,304.6935998,3.390558001776616,0.006,0.006,pos_cluster,pos_cluster,NS
36,1,1,1521.88111,302.377174,7.14880956103662,0.05,0.05,pos_cluster,NS,NS
37,0,0,798.7996187,209.6956431,9.743537947397282,0.943,0.05700000000000005,NS,NS,NS
38,0,0,1192.50388,171.8503495,0.3274737991030449,0.01,0.01,pos_cluster,pos_cluster,NS
39,0,0,1105.367684,178.0818063,0.823990131003471,0.165,0.165,NS,NS,NS
40,0,0,1073.582319,249.6257187,8.416565675345462,0.849,0.15100000000000002,NS,NS,NS
41,7,1,495.8892969,294.339217,47.09488514127101,1.0,0.0,neg_cluster,neg_cluster,neg_cluster
42,7,0,496.8939411,299.7324166,62.10861877074707,1.0,0.0,neg_cluster,neg_cluster,neg_cluster
43,7,0,497.2206606,296.1069718,61.48276025264953,1.0,0.0,neg_cluster,neg_cluster,neg_cluster
44,7,1,494.6537343,300.0221827,50.7347238142341,1.0,0.0,neg_cluster,neg_cluster,neg_cluster
45,0,0,1053.411455,260.6378922,10.556211583670262,0.943,0.05700000000000005,NS,NS,NS
46,0,0,1067.113332,176.0090242,4.878055163010021,0.553,0.44699999999999995,NS,NS,NS
47,4,1,1014.19069,302.9483262,11.0795308842494,0.806,0.19399999999999995,NS,NS,NS
48,4,0,999.0633818,295.0894093,14.623514078684199,0.959,0.041000000000000036,neg_cluster,NS,NS
49,4,0,999.8792342,295.4689045,14.44941998455536,0.959,0.041000000000000036,neg_cluster,NS,NS
50,4,1,987.2395933,297.388153,11.497462354461383,0.849,0.15100000000000002,NS,NS,NS
51,0,0,809.0990615,197.574878,2.6384860143279565,0.2,0.2,NS,NS,NS
52,0,0,1105.835906,237.4379188,7.575150259406504,0.793,0.20699999999999996,NS,NS,NS
53,1,1,1515.371115,300.3032629,10.044259398231434,0.16,0.16,NS,NS,NS
54,1,0,1502.103651,298.8960474,0.015220983229224334,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
55,1,0,1499.5232,299.640787,0.019180641368001204,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
56,1,1,1463.484509,296.2887305,4.541058832230554,0.015,0.015,pos_cluster,NS,NS
57,0,0,919.7160768,244.357004,3.716860882465902,0.45,0.45,NS,NS,NS
58,0,0,982.0279151,157.8258919,3.212428115445263,0.424,0.424,NS,NS,NS
59,7,1,505.7818733,297.9966573,42.85273911671812,1.0,0.0,neg_cluster,neg_cluster,neg_cluster
60,7,0,501.7168483,304.9677551,63.19280022381021,1.0,0.0,neg_cluster,neg_cluster,neg_cluster
61,7,0,501.4078088,298.808529,61.66016932396177,1.0,0.0,neg_cluster,neg_cluster,neg_cluster
62,7,0,498.6031172,300.8749981,62.337456122628254,1.0,0.0,neg_cluster,neg_cluster,neg_cluster
63,7,1,495.9446575,301.9009077,36.860139829995084,1.0,0.0,neg_cluster,neg_cluster,neg_cluster
64,0,0,1059.386305,88.95212279,8.046038543159373,0.423,0.423,NS,NS,NS
65,4,1,991.8729515,294.1637105,10.515992562713583,0.808,0.19199999999999995,NS,NS,NS
66,4,0,993.0139638,305.8907221,15.932559076564608,0.969,0.031000000000000028,neg_cluster,NS,NS
67,4,0,981.9298681,294.1652304,14.977014711483307,0.976,0.02400000000000002,neg_cluster,NS,NS
68,4,0,975.0623059,299.5311521,15.947140749261646,0.98,0.020000000000000018,neg_cluster,NS,NS
69,4,1,982.7888611,299.6372014,8.308712556197646,0.618,0.382,NS,NS,NS
70,0,0,607.024287,195.3811912,8.608804811997208,0.751,0.249,NS,NS,NS
71,1,1,1489.888436,302.955137,10.609857003527894,0.181,0.181,NS,NS,NS
72,1,0,1513.551315,302.7939584,0.012207007306241205,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
73,1,0,1502.154439,297.6738736,0.013883970701987252,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
74,1,0,1512.215905,297.2300211,0.022983332954700217,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
75,1,1,1474.086747,305.1062625,6.377829869295633,0.034,0.034,pos_cluster,NS,NS
76,0,0,1133.40494,204.4616851,2.476674624081973,0.644,0.356,NS,NS,NS
77,0,0,808.8858952,142.7123923,0.5552107072312811,0.015,0.015,pos_cluster,NS,NS
78,0,0,645.9069304,274.6951438,19.80268468205489,0.974,0.026000000000000023,neg_cluster,NS,NS
79,7,1,505.8302548,302.000227,52.747923156056736,1.0,0.0,neg_cluster,neg_cluster,neg_cluster
80,7,0,503.516121,297.6142264,61.55873844671842,1.0,0.0,neg_cluster,neg_cluster,neg_cluster
81,7,0,498.4757158,296.0069851,61.43533388956186,1.0,0.0,neg_cluster,neg_cluster,neg_cluster
82,7,1,501.5469495,298.1600625,45.12040375297279,0.999,0.0010000000000000009,neg_cluster,neg_cluster,neg_cluster
83,0,0,830.8692389,134.8609948,9.115010945411864,0.74,0.26,NS,NS,NS
84,0,0,1035.437638,192.9213777,2.305488293361444,0.273,0.273,NS,NS,NS
85,4,1,1005.553819,294.6005866,10.52675770990029,0.823,0.17700000000000005,NS,NS,NS
86,4,0,1009.449372,296.7050015,14.739154726288833,0.964,0.03600000000000003,neg_cluster,NS,NS
87,4,0,998.4024755,300.0368707,15.538653793356698,0.972,0.028000000000000025,neg_cluster,NS,NS
88,4,1,1001.648585,297.3075154,10.68893226930161,0.828,0.17200000000000004,NS,NS,NS
89,0,0,1566.887948,176.7905935,4.340528424608696,0.081,0.081,NS,NS,NS
90,0,0,845.7465886,177.7892275,9.680701254548374,0.943,0.05700000000000005,NS,NS,NS
91,1,1,1533.533139,300.331098,5.109913672426505,0.009,0.009,pos_cluster,pos_cluster,NS
92,1,0,1494.359707,301.3703641,0.010215245124026062,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
93,1,0,1519.699664,301.2222653,0.02604898678836079,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
94,1,1,1501.981371,303.0392449,8.154277079895618,0.073,0.073,NS,NS,NS
95,0,0,1141.842315,155.7897598,8.372875106657176,0.886,0.11399999999999999,NS,NS,NS
96,0,0,798.5299432,192.8414802,2.3388374702592483,0.205,0.205,NS,NS,NS
97,0,0,782.4914075,191.8570759,10.823925848269656,0.97,0.030000000000000027,neg_cluster,NS,NS
98,7,1,500.056246,299.9390023,39.60652977080233,1.0,0.0,neg_cluster,neg_cluster,neg_cluster
99,7,1,489.0795407,301.3739164,53.59200879952709,1.0,0.0,neg_cluster,neg_cluster,neg_cluster
100,7,1,493.1552925,305.8137664,44.59814295482675,1.0,0.0,neg_cluster,neg_cluster,neg_cluster
101,0,0,1244.681654,304.2316019,12.517690720987446,0.667,0.33299999999999996,NS,NS,NS
102,0,0,1152.130073,151.0878478,6.624240501527291,0.604,0.396,NS,NS,NS
103,0,0,857.7541283,224.5874024,1.7213747302481854,0.045,0.045,pos_cluster,NS,NS
104,4,1,1000.738437,302.300724,9.586320205696316,0.707,0.29300000000000004,NS,NS,NS
105,4,1,1000.649748,304.3440728,12.706574001228832,0.861,0.139,NS,NS,NS
106,4,1,985.5642605,301.7155987,10.19861629668225,0.752,0.248,NS,NS,NS
107,0,0,1033.097182,214.8693483,1.7869261305740272,0.163,0.163,NS,NS,NS
108,0,0,1057.976483,171.9603016,2.9570825990673306,0.24,0.24,NS,NS,NS
109,0,0,814.4178237,291.2772411,2.4636298426381744,0.01,0.01,pos_cluster,pos_cluster,NS
110,1,1,1481.834707,303.9690388,5.380359532403817,0.024,0.024,pos_cluster,NS,NS
111,1,1,1509.860051,305.1159133,4.940351157012321,0.011,0.011,pos_cluster,NS,NS
112,1,1,1542.565224,296.3153711,10.720289515080818,0.164,0.164,NS,NS,NS
113,0,0,1045.492321,88.20790462,14.157973358806574,0.889,0.11099999999999999,NS,NS,NS
114,0,0,871.0024548,235.197048,1.360976989325301,0.217,0.217,NS,NS,NS
115,0,0,973.0655618,150.8168376,0.6282729388194939,0.121,0.121,NS,NS,NS
116,0,0,800.308049,151.0687595,5.301874415752351,0.386,0.386,NS,NS,NS
117,0,0,1375.647632,246.4667961,8.742722481285234,0.594,0.406,NS,NS,NS
118,0,0,700.2301702,202.0110605,13.030274629705428,0.987,0.013000000000000012,neg_cluster,NS,NS
119,0,0,611.4086392,249.0907614,17.539177190234806,0.973,0.027000000000000024,neg_cluster,NS,NS
120,0,0,1238.294506,252.8749144,4.025842880910308,0.112,0.112,NS,NS,NS
121,0,0,1371.634445,152.3594792,8.235985206266918,0.543,0.45699999999999996,NS,NS,NS
122,0,0,1041.350887,180.8931578,3.7154186382657284,0.395,0.395,NS,NS,NS
123,0,0,767.035224,181.8491131,2.100437266139892,0.046,0.046,pos_cluster,NS,NS
124,0,0,1007.022149,190.3790597,1.270776553065455,0.117,0.117,NS,NS,NS
125,0,0,1025.642854,263.8131803,4.231927992812646,0.321,0.321,NS,NS,NS
126,0,0,1130.590376,203.4289177,0.8584794942231617,0.023,0.023,pos_cluster,NS,NS
127,0,0,1121.277863,137.7695956,4.638375962986853,0.3,0.3,NS,NS,NS
128,0,0,920.3793364,147.6573834,2.038376324800633,0.043,0.043,pos_cluster,NS,NS
129,0,0,959.1344466,189.3225672,4.546735872045383,0.625,0.375,NS,NS,NS
130,0,0,1149.820496,197.9603594,4.953979719649855,0.595,0.405,NS,NS,NS
131,0,0,856.8543815,222.3868112,7.011487757574902,0.781,0.21899999999999997,NS,NS,NS
132,0,0,963.4276275,209.2982506,4.366219943559829,0.593,0.40700000000000003,NS,NS,NS
133,0,0,711.5113127,145.5515086,5.183849969639194,0.371,0.371,NS,NS,NS
134,0,0,1041.884279,225.5606667,4.293880283992785,0.59,0.41000000000000003,NS,NS,NS
135,0,0,1320.928608,200.3082092,3.423898682044645,0.226,0.226,NS,NS,NS
136,0,0,1070.084845,208.8952765,2.7002767522255646,0.251,0.251,NS,NS,NS
137,0,0,1026.854167,208.0092553,3.524487339312197,0.413,0.413,NS,NS,NS
138,0,0,1410.993327,161.1849414,3.1336199694561753,0.039,0.039,pos_cluster,NS,NS
139,0,0,1052.667621,282.6469103,1.2229432705060637,0.002,0.002,pos_cluster,pos_cluster,NS
140,0,0,1443.624848,206.907028,8.350172377842219,0.673,0.32699999999999996,NS,NS,NS
141,0,0,1429.323119,173.780002,5.777784669739879,0.312,0.312,NS,NS,NS
142,0,0,935.0089615,280.9830581,1.5489260571505388,0.008,0.008,pos_cluster,pos_cluster,NS
143,0,0,834.4126711,183.0565911,1.119342650361452,0.008,0.008,pos_cluster,pos_cluster,NS
144,0,0,944.646357,210.5621587,0.8971073125522525,0.032,0.032,pos_cluster,NS,NS
145,0,0,1191.709599,217.8686786,2.2173528660965207,0.094,0.094,NS,NS,NS
146,0,0,1321.095457,184.7262759,2.52999204181971,0.054,0.054,NS,NS,NS
147,0,0,890.1043929,198.9741034,1.4285642745426141,0.091,0.091,NS,NS,NS
148,0,0,789.5497895,279.6214424,5.434999946098285,0.185,0.185,NS,NS,NS
149,0,0,701.7969362,207.0882622,3.634340532822327,0.242,0.242,NS,NS,NS
150,0,0,1206.656322,222.4491685,2.0458998167273177,0.053,0.053,NS,NS,NS
151,0,0,932.7193629,233.1754652,2.6700802022070658,0.19,0.19,NS,NS,NS
152,0,0,1275.879289,195.5858921,1.7760264243593504,0.371,0.371,NS,NS,NS
