OBJECTID,Cluster,Edge,var1,var2,BiT,p_sim,p_value,pattern005,pattern001,pattern0001
1,0,0,3.43818763,0.44394236,0.7754304736147161,0.452,0.452,NS,NS,NS
2,0,0,0.489638695,1.43345609,0.26210911251060487,0.081,0.081,NS,NS,NS
3,0,0,2.326626924,0.28486648,0.31567530968330876,0.018,0.018,pos_cluster,NS,NS
4,0,0,0.369171135,1.30115837,1.927599698382155,0.769,0.23099999999999998,NS,NS,NS
5,0,0,0.458770169,3.14986966,4.673674022062347,0.837,0.16300000000000003,NS,NS,NS
6,0,0,3.231209147,3.20340244,5.634052836656835,0.857,0.14300000000000002,NS,NS,NS
7,0,0,0.601928734,0.34542117,5.036350935973312,0.933,0.06699999999999995,NS,NS,NS
8,0,0,4.886108936,0.66286878,1.6288959005903052,0.248,0.248,NS,NS,NS
9,0,0,1.875529403,0.32932668,2.0366076456961,0.665,0.33499999999999996,NS,NS,NS
10,0,0,0.92101533,0.64125101,1.0636728193470406,0.685,0.31499999999999995,NS,NS,NS
11,0,0,1.870853141,0.21571526,5.125478522239435,0.964,0.03600000000000003,neg_cluster,NS,NS
12,0,0,11.02230884,0.30262427,9.526736550830417,0.384,0.384,NS,NS,NS
13,0,0,0.817608787,0.73013122,1.5926204277955405,0.748,0.252,NS,NS,NS
14,0,0,0.482399935,1.22563357,0.2826503221700736,0.157,0.157,NS,NS,NS
15,0,0,0.782940923,0.31917477,2.723535740112191,0.836,0.16400000000000003,NS,NS,NS
16,0,0,3.902912252,0.9433873,0.326250612835446,0.016,0.016,pos_cluster,NS,NS
17,0,0,0.909699185,0.34626753,4.292958368918249,0.941,0.05900000000000005,NS,NS,NS
18,0,0,0.911942412,0.54823184,2.5210547565147774,0.86,0.14,NS,NS,NS
19,0,0,2.244842754,0.37461725,0.8839573409826552,0.348,0.348,NS,NS,NS
20,0,0,1.386965467,0.63470073,0.9493417916314951,0.364,0.364,NS,NS,NS
21,0,0,0.698983106,1.26890563,1.6808530297022104,0.613,0.387,NS,NS,NS
