OBJECTID,var1,var2,BiT,p_sim,p_value,pattern005,pattern001,pattern0001
1,47,33.33,6.863078098032526,0.537,0.46299999999999997,NS,NS,NS
2,79,87.65,17.030164227186052,0.134,0.134,NS,NS,NS
3,90,75.61,1.2514700840936066,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
4,3,25.93,0.746619514503096,0.004,0.004,pos_cluster,pos_cluster,NS
5,12,26.32,2.598824862672841,0.007,0.007,pos_cluster,pos_cluster,NS
6,93,90.91,4.9077570504970325,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
7,58,65.22,4.325126878351533,0.045,0.045,pos_cluster,NS,NS
8,62,35.71,3.3168918295188323,0.42,0.42,NS,NS,NS
9,26,36.47,7.467869504291558,0.203,0.203,NS,NS,NS
10,74,91.86,4.144132772930926,0.012,0.012,pos_cluster,NS,NS
11,22,27.97,11.568095434697156,0.59,0.41000000000000003,NS,NS,NS
12,43,36.94,0.8557531397854521,0.12,0.12,NS,NS,NS
13,39,35.05,5.682403737012162,0.352,0.352,NS,NS,NS
14,54,72.41,6.395153023027144,0.206,0.206,NS,NS,NS
15,27,36.89,1.0474262866042574,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
16,19,22.07,4.135551275111965,0.005,0.005,pos_cluster,pos_cluster,NS
17,79,60.92,11.270075630806897,0.242,0.242,NS,NS,NS
18,66,82.54,15.575526459784648,0.173,0.173,NS,NS,NS
19,58,76.34,2.02923008266571,0.01,0.01,pos_cluster,pos_cluster,NS
20,12,29.79,7.101644121603851,0.115,0.115,NS,NS,NS
21,38,78.57,14.454100246404995,0.957,0.04300000000000004,neg_cluster,NS,NS
22,14,23.4,16.19486745032694,0.502,0.498,NS,NS,NS
23,56,43.75,3.8517486417499507,0.43,0.43,NS,NS,NS
24,78,87.58,0.5344658973105575,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
25,44,54.67,0.7462757729533873,0.034,0.034,pos_cluster,NS,NS
26,34,55.21,1.6802710193447554,0.052,0.052,NS,NS,NS
27,76,92.86,1.6773081668088334,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
28,57,84.85,1.808612589615299,0.002,0.002,pos_cluster,pos_cluster,NS
29,43,13.79,14.887594285487452,0.632,0.368,NS,NS,NS
30,72,89.19,2.5657455083010117,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
31,77,56.67,12.829008687310672,0.786,0.21399999999999997,NS,NS,NS
32,14,35.62,2.439658093841227,0.077,0.077,NS,NS,NS
33,40,44.9,0.8768836911385328,0.145,0.145,NS,NS,NS
34,61,52.38,4.111416871748822,0.115,0.115,NS,NS,NS
35,23,24.56,11.319358672992166,0.692,0.30800000000000005,NS,NS,NS
36,60,44.58,9.315838079483868,0.209,0.209,NS,NS,NS
37,36,48.03,2.103036228367521,0.156,0.156,NS,NS,NS
38,19,36.36,2.7133456863016807,0.038,0.038,pos_cluster,NS,NS
39,36,61.11,1.7642892927369205,0.109,0.109,NS,NS,NS
40,72,76.47,0.8814923585257186,0.003,0.003,pos_cluster,pos_cluster,NS
41,66,63.27,2.791727657857537,0.076,0.076,NS,NS,NS
42,58,75.0,0.0995534132218096,0.002,0.002,pos_cluster,pos_cluster,NS
43,56,60.61,4.984429248350248,0.432,0.432,NS,NS,NS
44,32,34.29,1.2724838178132545,0.054,0.054,NS,NS,NS
45,77,57.14,2.6445887977313154,0.029,0.029,pos_cluster,NS,NS
46,25,46.39,2.5008389581680133,0.014,0.014,pos_cluster,NS,NS
47,34,35.4,1.019844028302826,0.006,0.006,pos_cluster,pos_cluster,NS
48,7,25.73,3.855097492850744,0.006,0.006,pos_cluster,pos_cluster,NS
49,72,36.36,13.277211018457844,0.987,0.013000000000000012,neg_cluster,NS,NS
50,22,33.33,11.765266580656316,0.228,0.228,NS,NS,NS
